Ref,Val,Package,PosX,PosY,Rot,Side
"J1","PJ-102AH","PJ-102AH",-4.824835,0.407480,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",0.650393,2.765893,-90.000000,top
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",0.350394,1.661999,-90.000000,top
"C1","C_10uf","C_0805_2012Metric",1.150394,0.958661,0.000000,top
"C2","C_22pf","C_0805_2012Metric",0.150394,0.908661,-90.000000,top
"C3","C_22pf","C_0805_2012Metric",0.150394,0.508661,-90.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",2.800394,2.885197,-90.000000,top
"C5","C_0805_10uf","C_0805_2012Metric",2.890394,2.885197,-90.000000,top
"C6","C_0.1uf","C_0805_2012Metric",5.050394,2.308661,0.000000,top
"C7","C_0805_1uf","C_0805_2012Metric",4.587402,1.142717,90.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",5.087402,1.142717,90.000000,top
"C9","C_0805_0.1uf","C_0805_2012Metric",0.560394,1.088661,180.000000,top
"D1","LED_0805","LED_0805_2012Metric",1.450394,2.574409,-90.000000,top
"DS1","TC1602A-01T","TC1602A-01T",1.590551,1.413287,0.000000,top
"DS2","LED_Display_1001","Adafruit-1001-0-0-MFG",2.755906,2.308661,90.000000,top
"J2","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",1.450394,2.008661,0.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",5.250394,2.758661,0.000000,top
"Q1","NPN_2N3904_SOT23","SOT-23",0.372047,1.108465,90.000000,top
"R1","R_2.2K","R_0805_2012Metric",1.450394,2.374409,90.000000,top
"R2","R_0805_22K","R_0805_2012Metric",2.656929,2.888661,180.000000,top
"R3","R_0805_4.7K","R_0805_2012Metric",1.250394,3.208661,90.000000,top
"R4","R_0805_4.7K","R_0805_2012Metric",1.250394,2.908661,90.000000,top
"R5","R_10K","R_0805_2012Metric",4.750394,1.708661,90.000000,top
"R6","R_0805_10K","R_0805_2012Metric",4.150394,2.408661,90.000000,top
"R7","R_0805_47","R_0805_2012Metric",2.990394,1.608661,90.000000,top
"R8","R_0805_10K","R_0805_2012Metric",4.750394,2.408661,90.000000,top
"R9","R_0805_10K","R_0805_2012Metric",4.150394,1.708661,90.000000,top
"R10","R_0805_2.2K","R_0805_2012Metric",0.150394,1.108465,-90.000000,top
"R11","R_0805_4.7K","R_0805_2012Metric",5.050394,2.408661,0.000000,top
"R12","R_0805_4.7K","R_0805_2012Metric",5.050394,2.508661,0.000000,top
"R13","R_0805_1K","R_0805_2012Metric",0.330394,1.248661,0.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",5.050394,1.708661,-90.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.050394,2.708661,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.650394,2.708661,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.050394,2.008661,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.650394,2.008661,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",0.700787,1.658268,0.000000,top
"U2","MAX7219","DIP-24_W7.62mm",3.400591,3.308661,-90.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",0.750394,3.308661,0.000000,top
"U4","L7805","TO-252-2",4.847441,1.225984,90.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",0.450394,0.708661,90.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",0.550394,3.259055,90.000000,top
