"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP20,TP19,TP18,TP17,TP16,TP15,TP11,TP12,TP1,TP3,TP13,TP4,TP5,TP9,TP10,TP6,TP2,TP8,TP14,TP7";"TestPoint_THTPad_D2.0mm_Drill1.0mm";20;"TestPoint";;;
2;"R12,R11,R4,R3";"R_0805_2012Metric";4;"R_0805_4.7K";;;
3;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
4;"C5";"C_0805_2012Metric";1;"C_0805_10uf";;;
5;"C8,C4,C9";"C_0805_2012Metric";3;"C_0805_0.1uf";;;
6;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
7;"R7";"R_0805_2012Metric";1;"R_0805_47";;;
8;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
9;"R13";"R_0805_2012Metric";1;"R_0805_1K";;;
10;"C6";"C_0805_2012Metric";1;"C_0.1uf";;;
11;"R10";"R_0805_2012Metric";1;"R_0805_2.2K";;;
12;"SW2,SW4,SW3,SW1";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
13;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
14;"R2";"R_0805_2012Metric";1;"R_0805_22K";;;
15;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
16;"C3,C2";"C_0805_2012Metric";2;"C_22pf";;;
17;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
18;"C1";"C_0805_2012Metric";1;"C_10uf";;;
19;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
20;"Q1";"SOT-23";1;"NPN_2N3904_SOT23";;;
21;"R6,R9,R8";"R_0805_2012Metric";3;"R_0805_10K";;;
22;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
23;"U2";"DIP-24_W7.62mm";1;"MAX7219";;;
24;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
25;"R1";"R_0805_2012Metric";1;"R_2.2K";;;
26;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
27;"U3";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
28;"DS2";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
29;"U4";"TO-252-2";1;"L7805";;;
30;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
31;"C7";"C_0805_2012Metric";1;"C_0805_1uf";;;
32;"R5";"R_0805_2012Metric";1;"R_10K";;;
33;"J1";"PJ-102AH";1;"PJ-102AH";;;
